filename	Cadaverine-C2:0	Cadaverine-C3:0	Cadaverine-C5:0	Cadaverine-C6:0	Cadaverine-C7:0	Dopamine-C2:0	Histamine-C2:0	Histamine-C3:0	Histamine-C4:0	Histamine-C5:0	Histamine-C6:0	Serotonin-C2:0	Sulfadimethoxine	Sulfamethazine	Tryptophan-C3:0
HNRC_100H2O_P3_A1.mzML	0.0415118771748816	0.0207869788936905	0.0	0.0	0.0	0.0005521917438593	0.0210189178697826	0.0064878360456517	0.0	0.0	0.0	0.0002337833432144	0.6098850386351746	1.0	0.0
HNRC_100H2O_P3_A10.mzML	1.047958435055527	0.6195883370750308	0.0856178359522477	0.0	0.0	0.0077157536117225	0.4012138487206105	0.1606889690451942	0.0627560794768569	0.0071300281725927	0.0010391886391853	0.0	0.8355827553997698	1.0	0.0
HNRC_100H2O_P3_A11.mzML	3.9675941535422186	1.9875894333929207	0.0583933574655769	0.0	0.0	0.002344547841928	0.0779198089338121	0.0156979265197618	0.000472461452317	0.0	0.0	0.0025279671281463	1.1184599161170854	1.0	0.0
HNRC_100H2O_P3_A12.mzML	0.0893745707018141	0.0585321182278463	0.1526449710053955	0.0102580919178178	0.0	0.0011752416037746	0.5831794986819168	0.3418125271967292	0.3594534553360453	0.2815424740968803	0.0645943666665053	0.0	1.952862857484029	1.0	0.0
HNRC_100H2O_P3_A2.mzML	0.375833886085003	0.2473770609695806	0.1489849159930911	0.0033365212671362	0.0	0.0132652207136786	0.0	0.0	0.0	0.0	0.0	0.0026314792643121	0.6957283577867647	1.0	0.0013398555509251
HNRC_100H2O_P3_A4.mzML	5.446599519982356	5.451710047709017	1.5500847725879578	0.0332170908527561	0.0	0.0156988736595372	1.8647481948314717	1.692430521907414	0.8447122958743497	0.6690994525354826	0.0147192038373348	0.0014532489206746	1.0043438975440218	1.0	0.0
HNRC_100H2O_P3_A5.mzML	1.176257954498647	0.7493502256649234	0.1230178848281157	0.0129561165241352	0.0	0.0090912611283888	0.0943927509381887	0.0260763700782579	0.0009033801421445	0.0	0.0	0.0	0.8333865055868455	1.0	0.0
HNRC_100H2O_P3_A6.mzML	23.486234849503564	12.638159137806904	0.591659159454056	0.0171576782728842	0.0	0.0	0.698214353809626	0.1548633907121396	0.0162071390007962	0.0	0.0	0.0	0.8656630894870256	1.0	0.0
HNRC_100H2O_P3_A7.mzML	0.0938127690601174	0.0345758499086854	0.000796082512612	0.0	0.0	0.0001844703369509	0.0175547164526033	0.00515460455544	0.0	0.0	0.0	0.0	0.9437808819908278	1.0	0.0007272410051939
HNRC_100H2O_P3_A8.mzML	0.1333600438036842	0.0960640908806993	0.0345996538133067	0.0	0.0	0.0	0.0027336285241485	0.001327649859519	0.0	0.0	0.0	0.0	0.2261845171908879	1.0	0.0
HNRC_100H2O_P3_A9.mzML	22.700267612659136	13.7925018782559	0.3490496051005772	0.0038284501698191	0.0	0.0016318480020117	0.0531723800399866	0.0209954277663139	0.0173466375597368	0.0	0.0	0.0052923126297445	0.6346566543036379	1.0	0.0
HNRC_100H2O_P3_B1.mzML	8.75045933343682	3.622926262323081	0.0050641485629322	0.0	0.0	0.0050173318196148	0.2993749930393608	0.081093835052995	0.0	0.0	0.0	0.0	1.2600075429266913	1.0	0.0
HNRC_100H2O_P3_B10.mzML	0.3348195205306647	0.1242450587710649	0.0345668165434513	0.0	0.0	0.0138159563543529	0.0450540661067084	0.0172874313519322	0.013993329869393	0.0	0.0	0.0	0.5810559971852076	1.0	0.0
HNRC_100H2O_P3_B11.mzML	4.295974668506619	3.126438439261291	3.6940502898285534	0.0314776073528391	0.0	0.0119921014846108	0.7334358767279974	0.5177685049064896	0.1334162273344696	0.0559743395144797	0.0	0.0	0.9804980670585128	1.0	0.0
HNRC_100H2O_P3_B12.mzML	2.598570161856973	1.75056305490914	0.0236413824887437	0.0	0.0	0.0231714721337453	0.2913027444593254	0.0391375298110955	0.0273352822895615	0.0072360455510403	0.0132053885634437	0.0	0.7121864308521724	1.0	0.0
HNRC_100H2O_P3_B2.mzML	5.302958568529284	2.1675942981388427	0.115644100102751	0.0	0.0	0.0028888219608206	1.1683999085611356	0.3569382451014053	0.0382781013874562	0.0	0.0	0.0030195458717397	1.0803174224520784	1.0	0.0027683695375369
HNRC_100H2O_P3_B4.mzML	1.2281101149928562	0.8955603695758413	0.0080910413880559	0.0	0.0	0.0019277110235636	0.17503324456247	0.0583170196634322	0.0146117436773015	0.0	0.0	0.0	0.953009010358943	1.0	0.0
HNRC_100H2O_P3_B5.mzML	0.1835070526966639	0.0697741154722792	0.0353627529786776	0.0	0.0	0.0047293642134337	0.0041258203628091	0.0027197143054481	0.0	0.0	0.0	0.0	0.8967346444273597	1.0	0.0136891967349144
HNRC_100H2O_P3_B6.mzML	1.4986406226229498	0.8435633498913822	0.0227136144201485	0.0	0.0	0.0131596446933138	0.0521264352067519	0.0231920954136693	0.0005771064266458	0.0	0.0	0.0	6.204672695850031	1.0	0.0
HNRC_100H2O_P3_B7.mzML	0.6997858330447204	0.6910217112425244	0.0141639342847309	0.0	0.0	0.0040826587343973	0.0066868102286569	0.0128817377625433	0.0	0.0	0.0	0.0	2.5800465448989964	1.0	0.0
HNRC_100H2O_P3_B8.mzML	2.7659165175693654	3.2107155045370965	1.9697746633042152	0.0658818717849818	0.0	0.0115757868614481	0.0	0.0	0.0174159221135957	0.0	0.0	0.0	2.973053778685833	1.0	0.0
