BOX1	1	2	3	4	5	6	7	8	9	10	11	12
A	X3020288	X2105336	X2103276	X2103280	X2103290	X2101461	X2101519	X2101533	X2101535	X2101579	X2102007	BSPS_Blank
B	X2102057	X2103890	X2103900	X2104129	X2106756	X2106900	X2098309	X2098305	X2100610	X2100622	X2101877	BSPS_Blank
C	X2103016	X2103026	X2103052	X2106581	X2106646	X2098491	X2098489	X2101753	X2101759	X2106564	X2106572	BSPS_Blank
D	X2108328	X2108352	X2112118	X2104852	X2104585	X2104600	X2107353	X2107367	X2112140	X2117365	X2117065	BSPS_Blank
E	X2116639	X2116661	X2117806	X2115775	X2115779	X2117811	X2111938	X2111970	X2114418	X2114400	X2114430	BSPS_Blank
F	X2115470	X2115480	X2116153	X2109026	X2111626	X2109853	X2109909	X2114906	X2111148	X2114606	X2108893	BSPS_Blank
G	X2108891	X2114590	X2109409	X2109407	X2113101	X2113111						
H												
